,Pattern Name,,,Patlet,Author,Date,,1
Value Stream Pattern Language,,,,,,,Value Stream,2
,Spirit of the Game,,,"Rules create loopholes. Therefore: Use the rules as a guide, but be driven by The Spirit Of the Game in cases where the rules' applicability is ambiguos or contentious.",Jens Østergaard & Lachlan Heasman,2012-05-08,Value Stream,3
,Sprint Planning,,,Sprint Planning is the transition along the value stream between the Product Backlog and the Development Team's work plan,Neil Harrison,2012-05-08,Value Stream,4
,Daily Clean Code,,,"Every night when you go to bed, the code should at least build cleanly and ideally should be shippable.",Neil Harrison,5/1/2010,Value Stream,5
,Small Items,,,Big items are hard to estimate; Therefore: Break down items so they are small enough to estimate with confidence,James O. Coplien,2010-05-01,Value Stream,6
,Whack the Mole,,,"A separate bug-tracking system leaves an increasing bug inventory; Therefore: Fix bugs when they arise, relegating bugs that will require a large amount of work to the Product Backlog. Maybe needs clarification against Daily Clean Code.",James O. Coplien,5/1/2010,Value Stream,7
,Estimation Points,,,"You need up-to-date estimates, yet it's much work to re-estimate everything as the velocity improves. Therefore: use unitless relative estimation against a baseline",James O. Coplien,2010-05-01,Value Stream,8
,,Accountable Estimates,,The Product Backlog must be estimated by the people who commit to the estimates. Therefore: have the Team develop cost estimates and the Product Owners develop Business Value estimates.,James O. Coplien,12/22/2010,Value Stream,9
,,Pigs Estimate,,Estimates should be grounded in reality rather than wishful thinking; Therefore: Let those who are going to do the work do the estimation,Gertrud Bjørnvig,5/1/2010,Value Stream,10
,,Yesterday's Weather,,People tend to set increasingly high goals for themselves to the point of not being able to achieve them; Therefore: Use the previous Sprint's velocity as the best indicator of the next Sprint's velocity,Joe Bergin,5/1/2010,Value Stream,11
,,Updated Velocity,,"You want the velocity to reflect the team's current abilities, yet it takes time to know whether process improvements actually worked; Therefore: Update the velocity only if a new level is sustained for the past three sprints.",James O. Coplien,5/1/2010,Value Stream,12
,,Teams that Finish Early Accelerate Faster,,If you fail too many Sprints it's discouraging: failure comes from taking too many points into the Sprint. Therefore: use Yesterday's Weather to get about the right number of points; use Scrumming the Scrum to lubricate the acceleration; and realize the acceleration by taking on more work if you do finish early.,Jeff Sutherland,7/10/2012,Value Stream,13
,,Kaizen Pulse also belong here?,,,,,,14
,,Regular Product Increment,,"In a complex environment, it is difficult to assess progress and meet business goals. Therefore: Develop a regular product increment both to keep on track and to meet market needs",Lachlan Heasman,11/19/2011,Value Stream,15
,Information Radiator,,,"Kaizen is the core of Scrum, and improvement depends on transparency and visibility. Therefore: Create artifacts and roles that keep information visible to all stakeholders, and create ceremonies where information is exchanged and disseminated.",Swarm,,Value Stream,15
,Product Backlog,,,Everyone needs to agree to what should be delivered and when. Therefore: Create a visible Product Backlog of Product Backlog Items,James O. Coplien,2010-05-01,Value Stream,16
,,Aggregate Velocity,,Velocity is a property of a product backlog and not of a team; Therefore: have all Scrum teams for a single product backlog estimate together using a common baseline and range,James O. Coplien,6/16/2012,Value Stream,17
,,Spike,,"Sometime you need (perhaps arbitrarily time-boxed) activities whereby the Development Team helps the Product Owner clarify requirements.

Dropped — doesn't make sense in Scrum.",Ville & team,5/1/2010,Value Stream,18
,,Set-Based Design,,"Sometimes it's hard to know which of several alternatives to pursue, yet the difference is crucial. Therefore: Pre-build each of several options as an exercise to mitigate risk.",Evan Leonard,1/4/2017,Value Stream,19
,,Change for Free,,"Some PBIs are so context-free that they can easily be exchanged for others; Therefore: Allow the customer to add a PBI if the remove one of equal cost, thereby achieving higher value for the customer",James O. Coplien,5/1/2010,Value Stream,19
,,Enabling Specification,,Unexplored requirements cause unpleasant surprises; Therefore: The product owner should deliver enabling specifications that show that important questions have been raised and adressed,James O. Coplien,5/1/2010,Value Stream,20
,,Estimation Range,,"Estimation isn't just about accuracy, but also about precision; Therefore: Handle estimates as ranges. I think that Release Range is a better pattern — this one looks too much like amplified guesswork. It's also kind of a microamangement thing and something more related to an old-style Project Management approach where individual items mattered more than delivering the Sprint",James O. Coplien,5/1/2010,Value Stream,21
,,Granularity Gradient,,"Small items are easy to estimate, but it's a lot of work to break down big items into small items; Therefore: Break down just the items that you depend on in the near future",James O. Coplien,5/1/2010,Value Stream,22
,,Refined Product Backlog,,Alias for Definition of Ready,Neil Harrison,1/6/2015,Value Stream,23
,,High Value First,,"PBIs have different values and costs; Therefore: To manage value in a rapidly changing environment, deliver the highest value PBIs first",James O. Coplien,5/1/2010,Value Stream,24
